food_id,name,volume,weight,calories,category,timestamp,carb,fat,protein,ca,p,k,fe,zn,mg
11013007,시금치나물,553.36,100.0,75.02,Q4,2024-12-22 15:06:30,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
7014001,달걀말이,792.1,180.0,310.03,Q3,2024-12-22 15:06:30,8.41,20.21,21.67,89.35,304.74,361.58,2.83,2.5,
11013007,시금치나물,11.89,100.0,75.02,Q4,2024-12-22 15:17:24,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
4011011,어묵국,56.34,100.0,42.02,Q1,2024-12-22 15:21:01,6.19,0.7,3.81,99.88,78.01,282.71,1.13,0.46,
11013007,시금치나물,15.1,100.0,75.02,Q4,2024-12-22 15:21:01,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
7014001,달걀말이,964.56,100.0,172.24,Q2,2024-12-22 15:21:01,4.67,11.23,12.04,49.64,169.3,200.88,1.57,1.39,
11013007,시금치나물,282.54,100.0,75.02,Q4,2024-12-22 15:26:50,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
7014001,달걀말이,929.94,100.0,172.24,Q2,2024-12-22 15:26:50,4.67,11.23,12.04,49.64,169.3,200.88,1.57,1.39,
7014001,달걀말이,891.97,100.0,172.24,Q2,2024-12-22 15:28:15,4.67,11.23,12.04,49.64,169.3,200.88,1.57,1.39,
11013007,시금치나물,550.44,100.0,75.02,Q4,2024-12-22 15:28:15,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
11013007,시금치나물,3.38,100.0,75.02,Q4,2024-12-22 15:31:57,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
11013007,시금치나물,18.69,100.0,75.02,Q4,2024-12-22 15:32:08,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
11013007,시금치나물,25.98,100.0,75.02,Q4,2024-12-22 15:34:06,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
7014001,달걀말이,34.75,50.0,86.12,Q1,2024-12-22 15:34:28,2.33,5.62,6.02,24.82,84.65,100.44,0.79,0.69,
11013007,시금치나물,11.06,20.0,15.0,Q1,2024-12-22 15:34:28,1.53,0.95,0.83,15.04,9.82,124.5,0.71,0.16,
11013007,시금치나물,6.86,100.0,75.02,Q4,2024-12-22 15:34:37,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
7014001,달걀말이,24.31,100.0,172.24,Q2,2024-12-22 15:34:37,4.67,11.23,12.04,49.64,169.3,200.88,1.57,1.39,
7014001,달걀말이,767.38,50.0,86.12,Q1,2024-12-22 15:37:09,2.33,5.62,6.02,24.82,84.65,100.44,0.79,0.69,
11013007,시금치나물,474.36,50.0,37.51,Q2,2024-12-22 15:37:09,3.82,2.37,2.07,37.59,24.55,311.26,1.77,0.4,
11013007,시금치나물,15.93,20.0,15.0,Q1,2024-12-22 15:37:52,1.53,0.95,0.83,15.04,9.82,124.5,0.71,0.16,
7014001,달걀말이,760.84,13.0,22.39,Q1,2024-12-22 15:37:52,0.61,1.46,1.57,6.45,22.01,26.11,0.2,0.18,
4011011,어묵국,53.72,13.0,5.46,Q1,2024-12-22 15:37:52,0.81,0.09,0.5,12.98,10.14,36.75,0.15,0.06,
11013007,시금치나물,12.33,120.0,90.02,Q4,2024-12-22 15:40:36,9.17,5.69,4.97,90.22,58.92,747.02,4.25,0.96,
11013007,시금치나물,23.06,10.0,7.5,Q1,2024-12-22 15:41:48,0.76,0.47,0.41,7.52,4.91,62.25,0.35,0.08,
11013007,시금치나물,15.12,100.0,75.02,Q4,2024-12-22 15:43:05,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
11013007,시금치나물,11.85,100.0,75.02,Q4,2024-12-22 15:46:19,7.64,4.74,4.14,75.18,49.1,622.52,3.54,0.8,
11013007,시금치나물,23.71,10.0,7.5,Q1,2024-12-22 15:46:34,0.76,0.47,0.41,7.52,4.91,62.25,0.35,0.08,
11013007,시금치나물,7.88,50.0,37.51,Q2,2024-12-22 15:48:25,3.82,2.37,2.07,37.59,24.55,311.26,1.77,0.4,
11013007,시금치나물,11.71,10.0,7.5,Q1,2024-12-22 15:48:59,0.76,0.47,0.41,7.52,4.91,62.25,0.35,0.08,
